"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","83.1","","","","1"
"1993","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","84.5","","","","1"
"1994","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","84.9","","","","1"
"1995","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","86.9","","","","1"
"1996","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","88.0","","","","1"
"1997","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","89.4","","","","1"
"1998","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","90.9","","","","1"
"1999","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","92.0","","","","1"
"2000","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","93.3","","","","1"
"2001","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","97.4","","","","1"
"2002","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","100.0","","","","1"
"2003","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","101.7","","","","1"
"2004","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","103.8","","","","1"
"2005","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","106.4","","","","1"
"2006","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","108.9","","","","1"
"2007","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","111.8","","","","1"
"2008","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","115.7","","","","1"
"2009","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","121.4","","","","1"
"2010","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","123.1","","","","1"
"2011","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","127.7","","","","1"
"2012","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","130.8","","","","1"
"2013","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","132.4","","","","1"
"2014","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","135.5","","","","1"
"2015","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","140.5","","","","1"
"2016","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","142.6","","","","1"
"2017","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","142.7","","","","1"
"2018","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","145.3","","","","1"
"2019","Canada","2016A000011124","Food","2002=100","17","units","0","v41693272","2.3","150.2","","","","1"
"1970","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","32.4","","","","1"
"1971","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","33.0","","","","1"
"1972","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","33.4","","","","1"
"1973","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","34.0","","","","1"
"1974","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","35.0","","","","1"
"1975","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","36.9","","","","1"
"1976","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","39.5","","","","1"
"1977","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","42.1","","","","1"
"1978","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","44.3","","","","1"
"1979","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","46.4","","","","1"
"1980","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","48.6","","","","1"
"1981","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","51.9","","","","1"
"1982","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","56.5","","","","1"
"1983","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","60.8","","","","1"
"1984","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","63.8","","","","1"
"1985","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","66.6","","","","1"
"1986","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","69.2","","","","1"
"1987","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","71.7","","","","1"
"1988","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","74.5","","","","1"
"1989","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","78.3","","","","1"
"1990","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","81.5","","","","1"
"1991","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","84.3","","","","1"
"1992","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","86.6","","","","1"
"1993","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","88.4","","","","1"
"1994","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","89.9","","","","1"
"1995","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","91.2","","","","1"
"1996","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","92.3","","","","1"
"1997","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","93.5","","","","1"
"1998","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","94.5","","","","1"
"1999","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","95.4","","","","1"
"2000","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","96.5","","","","1"
"2001","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","98.1","","","","1"
"2002","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","100.0","","","","1"
"2003","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","101.5","","","","1"
"2004","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","102.6","","","","1"
"2005","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","103.4","","","","1"
"2006","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","104.4","","","","1"
"2007","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","106.0","","","","1"
"2008","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","107.8","","","","1"
"2009","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","109.5","","","","1"
"2010","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","110.8","","","","1"
"2011","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","112.0","","","","1"
"2012","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","113.6","","","","1"
"2013","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","115.4","","","","1"
"2014","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","117.1","","","","1"
"2015","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","118.5","","","","1"
"2016","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","119.3","","","","1"
"2017","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","120.0","","","","1"
"2018","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","121.4","","","","1"
"2019","Canada","2016A000011124","Rented accommodation","2002=100","17","units","0","v41693349","2.80","124.7","","","","1"
"1970","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","19.2","","","","1"
"1971","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","20.7","","","","1"
"1972","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","22.4","","","","1"
"1973","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","24.6","","","","1"
"1974","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","27.0","","","","1"
"1975","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","29.7","","","","1"
"1976","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","33.9","","","","1"
"1977","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","37.5","","","","1"
"1978","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","40.6","","","","1"
"1979","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","43.1","","","","1"
"1980","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","46.4","","","","1"
"1981","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","52.3","","","","1"
"1982","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","59.4","","","","1"
"1983","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","63.3","","","","1"
"1984","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","65.2","","","","1"
"1985","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","66.9","","","","1"
"1986","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","69.5","","","","1"
"1987","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","73.8","","","","1"
"1988","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","77.9","","","","1"
"1989","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","83.8","","","","1"
"1990","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","89.3","","","","1"
"1991","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","92.5","","","","1"
"1992","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","92.9","","","","1"
"1993","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","93.2","","","","1"
"1994","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","92.3","","","","1"
"1995","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","93.7","","","","1"
"1996","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","93.0","","","","1"
"1997","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","92.1","","","","1"
"1998","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","92.2","","","","1"
"1999","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","93.2","","","","1"
"2000","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","95.6","","","","1"
"2001","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","98.3","","","","1"
"2002","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","100.0","","","","1"
"2003","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","103.0","","","","1"
"2004","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","105.9","","","","1"
"2005","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","109.2","","","","1"
"2006","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","113.7","","","","1"
"2007","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","119.3","","","","1"
"2008","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","124.6","","","","1"
"2009","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","125.9","","","","1"
"2010","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","126.8","","","","1"
"2011","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","128.6","","","","1"
"2012","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","130.1","","","","1"
"2013","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","130.8","","","","1"
"2014","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","133.1","","","","1"
"2015","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","135.2","","","","1"
"2016","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","138.1","","","","1"
"2017","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","141.6","","","","1"
"2018","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","145.3","","","","1"
"2019","Canada","2016A000011124","Owned accommodation","2002=100","17","units","0","v41693353","2.84","149.0","","","","1"
"1970","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","11.5","","","","1"
"1971","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","12.2","","","","1"
"1972","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","12.6","","","","1"
"1973","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","13.9","","","","1"
"1974","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","15.8","","","","1"
"1975","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","17.8","","","","1"
"1976","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","21.1","","","","1"
"1977","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","24.2","","","","1"
"1978","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","27.2","","","","1"
"1979","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","29.8","","","","1"
"1980","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","33.6","","","","1"
"1981","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","41.7","","","","1"
"1982","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","49.2","","","","1"
"1983","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","53.9","","","","1"
"1984","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","56.9","","","","1"
"1985","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","59.9","","","","1"
"1986","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","58.6","","","","1"
"1987","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","58.8","","","","1"
"1988","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","60.4","","","","1"
"1989","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","61.1","","","","1"
"1990","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","64.3","","","","1"
"1991","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","71.9","","","","1"
"1992","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","75.3","","","","1"
"1993","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","78.3","","","","1"
"1994","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","80.1","","","","1"
"1995","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","79.3","","","","1"
"1996","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","80.6","","","","1"
"1997","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","83.0","","","","1"
"1998","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","83.3","","","","1"
"1999","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","85.5","","","","1"
"2000","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","94.4","","","","1"
"2001","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","102.7","","","","1"
"2002","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","100.0","","","","1"
"2003","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","108.9","","","","1"
"2004","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","112.5","","","","1"
"2005","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","119.8","","","","1"
"2006","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","125.9","","","","1"
"2007","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","126.6","","","","1"
"2008","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","135.5","","","","1"
"2009","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","125.9","","","","1"
"2010","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","131.3","","","","1"
"2011","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","136.6","","","","1"
"2012","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","138.2","","","","1"
"2013","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","143.0","","","","1"
"2014","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","153.9","","","","1"
"2015","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","153.0","","","","1"
"2016","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","154.4","","","","1"
"2017","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","154.3","","","","1"
"2018","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","155.9","","","","1"
"2019","Canada","2016A000011124","Water, fuel and electricity","2002=100","17","units","0","v41693360","2.91","159.5","","","","1"
"1979","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","51.9","","","","1"
"1980","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","56.3","","","","1"
"1981","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","61.8","","","","1"
"1982","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","66.3","","","","1"
"1983","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","68.5","","","","1"
"1984","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","71.6","","","","1"
"1985","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","73.7","","","","1"
"1986","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","76.2","","","","1"
"1987","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","79.1","","","","1"
"1988","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","82.5","","","","1"
"1989","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","86.0","","","","1"
"1990","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","87.2","","","","1"
"1991","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","91.1","","","","1"
"1992","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","90.9","","","","1"
"1993","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","91.5","","","","1"
"1994","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","91.4","","","","1"
"1995","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","92.3","","","","1"
"1996","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","92.0","","","","1"
"1997","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","92.4","","","","1"
"1998","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","93.9","","","","1"
"1999","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","96.9","","","","1"
"2000","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","98.1","","","","1"
"2001","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","98.6","","","","1"
"2002","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","100.0","","","","1"
"2003","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","100.4","","","","1"
"2004","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","100.0","","","","1"
"2005","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","100.3","","","","1"
"2006","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","99.3","","","","1"
"2007","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","99.2","","","","1"
"2008","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","97.5","","","","1"
"2009","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","98.6","","","","1"
"2010","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","96.0","","","","1"
"2011","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","94.6","","","","1"
"2012","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","93.3","","","","1"
"2013","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","94.3","","","","1"
"2014","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","93.1","","","","1"
"2015","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","95.8","","","","1"
"2016","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","97.7","","","","1"
"2017","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","96.5","","","","1"
"2018","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","95.3","","","","1"
"2019","Canada","2016A000011124","Furniture and household textiles","2002=100","17","units","0","v41693386","2.117","95.1","","","","1"
"1979","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","70.6","","","","1"
"1980","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","73.9","","","","1"
"1981","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","79.7","","","","1"
"1982","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","87.1","","","","1"
"1983","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","91.8","","","","1"
"1984","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","93.0","","","","1"
"1985","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","93.6","","","","1"
"1986","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","95.2","","","","1"
"1987","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","96.6","","","","1"
"1988","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","97.4","","","","1"
"1989","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","100.0","","","","1"
"1990","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","100.0","","","","1"
"1991","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","100.7","","","","1"
"1992","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","99.4","","","","1"
"1993","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","98.9","","","","1"
"1994","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","99.3","","","","1"
"1995","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","99.7","","","","1"
"1996","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","100.1","","","","1"
"1997","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","100.1","","","","1"
"1998","Canada","2016A000011124","Household appliances","2002=100","17","units","0","v41693396","2.127","100.0","","","","1"
